,State,Prediction_x,Prediction_y,Prediction
0,OH,0.45099999999999996,0.54255,0.09155000000000002
1,WI,0.33299999999999996,0.49724999999999997,0.16425
2,PA,0.6930000000000001,0.50065,-0.19235000000000002
3,MI,0.7095,0.49615,-0.21335000000000004
4,TX,1.0,0.53345,-0.46655
5,FL,1.0,0.52935,-0.47065
6,AZ,1.0,0.50865,-0.49134999999999995
7,NV,0.5055,0.499,-0.00649999999999995
8,MT,0.5115,0.5871999999999999,0.07569999999999999
9,NE,0.514,0.5945,0.08050000000000002
10,VA,0.5465,0.46299999999999997,-0.08350000000000002
11,MN,0.38050000000000006,0.4709,0.09039999999999992
12,MO,0.6325000000000001,0.57045,-0.06205000000000005
13,NM,0.645,0.4605,-0.1845
14,MD,0.665,0.3559,-0.30910000000000004
15,ME,0.32399999999999995,0.4588,0.13480000000000003
16,NJ,0.3015,0.43284999999999996,0.13134999999999997
17,TN,0.6405000000000001,0.62035,-0.020150000000000112
18,DE,0.654,0.41715,-0.23685
19,WA,0.6845,0.40995000000000004,-0.27454999999999996
20,CT,0.685,0.41185000000000005,-0.27315
21,RI,0.685,0.4151,-0.26990000000000003
22,MS,0.509,0.5923499999999999,0.08334999999999992
23,IN,0.48950000000000005,0.5859,0.09639999999999993
24,CA,0.5155,0.37549999999999994,-0.14
25,UT,0.47850000000000004,0.6056,0.1271
26,NY,0.47250000000000003,0.41459999999999997,-0.05790000000000006
27,MA,0.5465,0.35285,-0.19365
28,NE,0.5475,0.5945,0.04700000000000004
29,ND,0.44299999999999995,0.66845,0.22545000000000004
30,HI,0.44199999999999995,0.3638,-0.07819999999999994
31,VT,0.6325000000000001,0.33165,-0.30085000000000006
32,WV,0.633,0.70175,0.06874999999999998
33,WY,0.6395,0.72705,0.08755000000000002
